OBJECTID,Name,Location,District,Neighbourhood,Container_Type,Bin_Type,Longitude,Latitude
846,"Gornjodragonoška cesta 31, 10257, Gornji Dragonožec, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.6486217<br>Zemljopisna dužina: 15.9368817","","Dragonožec","Zvono","Papir",15.936810621701492,45.6486118553694
850,"Granešina 33A, 10040, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8505003<br>Zemljopisna dužina: 16.0526219","Gornja Dubrava","Granešina","Zvono","Papir",16.05258971396354,45.850616130133375
851,"Gredice 5, 10110, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7857431<br>Zemljopisna dužina: 15.9387597","Trešnjevka - jug","Horvati - Srednjaci","Zvono","Papir",15.93893672613088,45.78546627660631
855,"Havidička ulica 59, 10257, Havidić Selo, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.6233374<br>Zemljopisna dužina: 15.9341257","","Havidići","Zvono","Papir",15.934320160776043,45.62326986786363
857,"HERCEGOVAČKA ULICA 108, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8222132<br>Zemljopisna dužina: 15.9595666","Gornji Grad - Medveščak","\"Stjepan Radić\"","Zvono","Papir",15.958922869291913,45.821487945796676
860,"Ulica braće Domany 8, 10110, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7883767<br>Zemljopisna dužina: 15.938475","Trešnjevka - jug","Horvati - Srednjaci","Zvono","Papir",15.938475000021501,45.78837669886951
862,"HORVATOVAC 11, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8187174<br>Zemljopisna dužina: 15.9934485","Gornji Grad - Medveščak","Voćarska","Zvono","Papir",15.99348068587685,45.81871739957493
863,"HORVATOVAC 60, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.821872<br>Zemljopisna dužina: 15.9909104","Gornji Grad - Medveščak","Voćarska","Zvono","Papir",15.990910399691138,45.821871999170824
865,"HRGOVIĆI 36, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7862895<br>Zemljopisna dužina: 15.9279981","Trešnjevka - jug","Jarun","Zvono","Papir",15.927969936317032,45.78599490993266
867,"ALEJA ANTUNA AUGUSTINČIĆA 18/1, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.819035<br>Zemljopisna dužina: 16.029635","Maksimir","Maksimirska naselja","Zvono","Papir",16.029280948907022,45.8191546344271
868,"PRILAZ BARUNA FILIPOVIĆA 10","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.811365<br>Zemljopisna dužina: 15.9469083","Črnomerec","\"Bartol Kašić\"","Zvono","Papir",15.94695121567253,45.81155195505383
869,"Ilica 298, 10000, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.81432<br>Zemljopisna dužina: 15.9306717","Črnomerec","Kustošija - centar","Zvono","Papir",15.928676135944494,45.81431626015945
871,"Ilica 288, 10000, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.814125<br>Zemljopisna dužina: 15.9282717","Črnomerec","Kustošija - centar","Zvono","Papir",15.929548431981857,45.81403152619225
872,"IVANIĆGRADSKA ULICA 46, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8049367<br>Zemljopisna dužina: 16.0198283","Peščenica - Žitnjak","Donje Svetice","Zvono","Papir",16.019798795642146,45.80495072292777
874,"IVANIĆGRADSKA ULICA 44, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8050533<br>Zemljopisna dužina: 16.01869","Peščenica - Žitnjak","Donje Svetice","Zvono","Papir",16.018749008559737,45.80504768978012
875,"IVANJOREČKA CESTA 20, 10373 IVANJA REKA","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7933627<br>Zemljopisna dužina: 16.1213425","Peščenica Žitnjak","Ivanja Reka","Zvono","Papir",16.12157853391699,45.79309526486892
876,"IVANJOREČKA CESTA BB, 10373 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7999502<br>Zemljopisna dužina: 16.1135524","Peščenica - Žitnjak","Ivanja Reka","Zvono","Papir",16.11350814301928,45.79996702904273
877,"IVEKOVIĆEVA ULICA 33, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8016295<br>Zemljopisna dužina: 16.0191098","Peščenica - Žitnjak","Ferenščica","Zvono","Papir",16.01895691363372,45.80146681873664
878,"Ulica Izidora Poljaka 32, 10040, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8354225<br>Zemljopisna dužina: 16.074005","Gornja Dubrava","Trnovčica","Zvono","Papir",16.073830656607434,45.83544866169507
879,"JAKOPOVIĆI, 10040 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.9051183<br>Zemljopisna dužina: 16.0610267","","Čučerje","","Papir",16.061026700308062,45.90511829921938
882,"JARNOVIĆEVA 1, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7905037<br>Zemljopisna dužina: 15.9041188","Trešnjevka - jug","Prečko","Zvono","Papir",15.903904222980856,45.79043262951972
883,"JARUN 49-53, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7859792<br>Zemljopisna dužina: 15.9244497","Trešnjevka - jug","Jarun","Zvono","Papir",15.924135881458037,45.78592028092993
884,"JARUN BB, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7846718<br>Zemljopisna dužina: 15.9134671","Trešnjevka - jug","Jarun","Zvono","Papir",15.91374068551865,45.784653094886146
886,"Jurja Neidhardta, 10110, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7841917<br>Zemljopisna dužina: 15.9397521","Trešnjevka - jug","Horvati - Srednjaci","Zvono","Papir",15.939883527764621,45.78423846107776
887,"JEZERA , DRAGONOŽEC, BREZOVICA","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.6611617<br>Zemljopisna dužina: 15.9529945","","Dragonožec","","Papir",15.952994500100438,45.661161699614404
888,"Jezera, 10257, Donji Dragonožec, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.6607233<br>Zemljopisna dužina: 15.9527133","","Dragonožec","Zvono","Papir",15.9527133001548,45.66072329910223
890,"Švarcova 20","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.819085<br>Zemljopisna dužina: 16.0046983","Maksimir","Mašićeva","Zvono","Papir",16.0044354433575,45.81850551233481
894,"KAPTOLSKA 26, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7952019<br>Zemljopisna dužina: 15.9339801","Trešnjevka - sjever","Ljubljanica","Zvono","Papir",15.93402301527647,45.795175717666815
896,"Šestinski dol 115, 10000, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.827425<br>Zemljopisna dužina: 15.9447667","Črnomerec","Šestinski dol - Vrhovec","Zvono","Papir",15.944814979576662,45.82738761890457
900,"KLIŠKA ULICA 2, 10110 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7939892<br>Zemljopisna dužina: 15.9539844","Trešnjevka - jug","Knežija","Zvono","Papir",15.953903933463952,45.793772262445614
902,"KNEŽIJA 3, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7913435<br>Zemljopisna dužina: 15.9472744","Trešnjevka - jug","Knežija","Zvono","Papir",15.947089327378682,45.79142578978927
903,"KNINSKI TRG 7, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.795315<br>Zemljopisna dužina: 15.9668483","Trnje","Vrbik","Zvono","Papir",15.966800020788147,45.795105547978046
904,"Koledinečka 1, 10040 Zagreb","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8321267<br>Zemljopisna dužina: 16.0568133","Gornja Dubrava","Studentski grad","Zvono","Papir",16.05667918928533,45.83213043698201
906,"KOSTELSKA ULICA bb, 10.000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.801335<br>Zemljopisna dužina: 15.9461867","Trešnjevka - sjever","\"Nikola Tesla\"","Zvono","Papir",15.946110928183865,45.80140418505395
908,"RUMAŠČICA 5, 10362 KAŠINSKA SOPNICA","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.913605<br>Zemljopisna dužina: 16.1035717","","Kašinska Sopnica","Zvono","Papir",16.103468434618602,45.91360033393385
912,"KRAPINSKA ULICA 58, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8025083<br>Zemljopisna dužina: 15.950245","Trešnjevka - sjever","\"Silvije Strahimir Kranjčević\"","Zvono","Papir",15.950195378559254,45.80251110374555
915,"KRUŽNA ULICA 80, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.790055<br>Zemljopisna dužina: 15.922775","Trešnjevka - jug","Jarun","Zvono","Papir",15.922868877840745,45.79005686943711
916,"KRUŽNA ULICA 80, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.79003<br>Zemljopisna dužina: 15.9228614","Trešnjevka - jug","Jarun","Zvono","Plastika",15.922866764236819,45.79001503698565
917,"Krvarić 51, 10000, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.84122<br>Zemljopisna dužina: 15.9152067","Črnomerec","Gornja Kustošija","Zvono","Papir",15.915195971271244,45.84116394234277
919,"KSAVER 200, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8328321<br>Zemljopisna dužina: 15.9766538","Gornji Grad - Medveščak","Gupčeva zvijezda","Zvono","Papir",15.976653800453207,45.83283209898618
920,"Trg Otokara Keršovanija","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8170483<br>Zemljopisna dužina: 15.998655","Maksimir","\"Dinko Šimunović\"","Zvono","Papir",15.99864293035377,45.816990349144255
921,"KUŠEVEČKA ULICA 7, 10135 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7837767<br>Zemljopisna dužina: 16.014985","Peščenica - Žitnjak","Savica Šanci","Zvono","Papir",16.014935379058524,45.783723390217105
